Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2022-07-01,251.6962432861328,251.88047513446844,246.87720152441233,248.60315448518915,22837700
2022-07-05,254.86691284179688,254.99296930885941,247.0032233964507,248.3800943919095,22941000
2022-07-06,258.12481689453125,259.85075458930794,254.43053435913447,255.73953886483227,23824400
2022-07-07,260.2483825683594,260.8883411729017,256.97103225603274,257.0680010610952,20859900
2022-07-08,259.5307922363281,259.9574311836556,255.2935200278726,256.74796291447564,19658800
2022-07-11,256.47650146484375,258.4351408209991,254.2172499828831,257.5818628153171,19455200
2022-07-12,245.9657440185547,257.8630939289556,244.38524428800383,257.8049185662981,35868500
2022-07-13,245.0445556640625,245.84934922574635,240.5745669583086,242.59139634264417,29497400
2022-07-14,246.36329650878906,247.3911007080352,238.4705183729216,242.95990461962012,25102800
2022-07-15,248.9230499267578,252.46218832114354,247.03227715721806,247.95342134798275,29774100
2022-07-18,246.52810668945312,252.91795652335915,245.60696234722735,251.86106474959863,20975000
2022-07-19,251.64773559570312,251.83196741615714,245.9754017765108,249.75694779239916,25012600
2022-07-20,254.3044891357422,256.82552948195536,251.04655115531952,252.0064740262088,22788300
2022-07-21,256.7965087890625,256.8450079874524,249.2237096105759,251.8998947859146,22404700
2022-07-22,252.4525146484375,257.27157048099224,251.2017149281793,257.18430744869886,21881300
2022-07-25,250.96900939941406,253.55793131652177,249.01036987517415,253.07311691629897,21056000
2022-07-26,244.24945068359375,251.98709795269474,241.99022895209225,251.96768644166164,39348000
2022-07-27,260.5780029296875,261.84821413779025,250.9883906372331,253.22823052881697,45994000
2022-07-28,268.01507568359375,269.40163763919867,259.734438202384,261.55734491443076,33459300
2022-07-29,272.2135925292969,273.43533434326656,268.22843217911804,269.26594214524397,32152800
2022-08-01,269.5664978027344,272.7371731572371,267.4623903988592,269.3822659732868,21539600
2022-08-02,266.47332763671875,269.4500944140682,264.10743158594045,267.61748223435484,22754200
2022-08-03,273.89105224609375,274.8897687407823,268.20901200946105,268.3544800041246,23518900
2022-08-04,275.03509521484375,275.1805335595958,271.66080725375275,273.24127672100605,18098700
2022-08-05,274.3176574707031,275.03517323549517,270.2161174409248,270.67184411090017,16774600
2022-08-08,271.8063049316406,277.2362311831434,270.8366763006836,275.4230007870511,18739200
2022-08-09,273.7261047363281,274.48241375789496,269.1785448532172,271.14691905074545,23405200
2022-08-10,280.3778991699219,281.0081520432844,278.22532180606646,279.41797601804245,24687800
2022-08-11,278.3028259277344,282.3655726517332,277.80833539979704,282.01652051436565,20065900
2022-08-12,283.0443115234375,283.0443115234375,278.22525580031515,279.7184922528835,22619700
2022-08-15,284.5569763183594,285.2454045080501,281.29900803496633,282.16199190447594,18085700
2022-08-16,283.820068359375,285.10969137320546,281.59963947332545,283.12193436448484,18102900
2022-08-17,283.07183837890625,285.0443616245307,281.2742116606303,281.536556451653,18253400
2022-08-18,281.9544372558594,283.645163191212,280.8952723028826,281.9738603210982,17186200
2022-08-19,278.0482177734375,281.06045328122894,277.47492602525494,280.72035691439993,20570000
2022-08-22,269.88604736328125,274.4626845439324,269.3710544716456,274.0934387624706,25061100
2022-08-23,268.6131286621094,270.96459435110165,267.6025659844231,268.6131286621094,17527400
2022-08-24,267.9814758300781,269.3807070113778,267.3207063558082,267.6122301498013,18137000
2022-08-25,270.954833984375,271.12000411237733,266.74741409537353,269.47785126704287,16583400
2022-08-26,260.49951171875,272.4026750674216,260.3926404040064,271.1783402052865,27549300
2022-08-29,257.7204895019531,259.8290331608574,256.3795570313367,258.32293054735436,20338500
2022-08-30,255.5244903564453,259.4889596293657,253.27989612081268,259.11974353789395,22767100
2022-08-31,254.0669708251953,259.54726943283595,253.9309204276981,257.8759964592217,24791800
2022-09-01,253.02725219726562,253.50339892265927,248.1785442591348,251.5405724888761,23263400
2022-09-02,248.81015014648438,257.2443854879001,247.26517150345208,254.2904786042123,22855400
2022-09-06,246.07969665527344,250.53000941495102,244.80678924426493,248.94618474623337,21328200
2022-09-07,250.78268432617188,251.50172318852577,246.05057356840078,247.48866611987495,24126700
2022-09-08,251.20046997070312,253.056395384433,247.5760822267559,250.21908643151144,20319900
2022-09-09,256.9722900390625,257.7205078743252,252.92037257528756,253.12441850602798,22084700
2022-09-12,259.10028076171875,259.8776479982531,257.65247691062,258.25491798547915,18747700
2022-09-13,244.85537719726562,253.02725242179903,244.46669355719365,251.51142329243044,33353300
2022-09-14,245.07887268066406,247.03195802459214,242.78569098884205,246.35178015556986,23913000
2022-09-15,238.43255615234375,244.28210110293705,237.11106126505769,242.69826140604198,31530900
2022-09-16,237.81063842773438,238.35478067639863,235.20651003185853,237.34421807736706,39791800
2022-09-19,237.59689331054688,238.19933446520724,234.0308040411177,235.60493213001268,26826900
2022-09-20,235.58546447753906,236.6154501254237,232.85502690956756,235.21623357137693,26660300
2022-09-21,232.1845703125,240.64796931692138,232.13598300454865,237.35395148181902,28625600
2022-09-22,234.1571044921875,236.9555675025579,230.8436634388637,231.1351576468061,31061200
2022-09-23,231.18374633789062,234.30286782239332,228.54075677381346,232.75787437724338,34176000
2022-09-26,230.72705078125,234.61379837015886,230.19262002242195,230.33838195306527,27694200
2022-09-27,229.7165069580078,234.95389883278438,227.86058139335248,233.18542153198845,27018700
2022-09-28,234.24453735351562,235.468857349179,228.0840319477859,230.105142213712,29029700
2022-09-29,230.77561950683594,233.15624924797467,227.77311079462302,232.1262635921422,27484200
2022-09-30,226.3058624267578,233.7295494002438,226.14067744074515,231.5432539781558,35694800
2022-10-03,233.92388916015625,234.76925194456734,228.01603154626426,228.74479665745017,28880400
2022-10-04,241.83343505859375,243.27152748723756,238.04384733649516,238.15073348619765,34888400
2022-10-05,242.14437866210938,243.48531136271737,237.18878424235803,239.0252719369114,20347100
2022-10-06,239.80262756347656,243.25211936958422,239.11273809831516,240.91035014743682,20239900
2022-10-07,227.60794067382812,234.4874855805171,226.56822859279998,234.07936404235068,37769600
2022-10-10,222.75921630859375,227.91887124753765,220.31056122973789,226.45162940250796,29743600
2022-10-11,219.02793884277344,222.5745899538486,217.76474295842993,221.17535850206903,30474000
2022-10-12,219.35830688476562,221.40856673598395,217.6189939430992,219.01821055578878,21903900
2022-10-13,227.60794067382812,229.4152788681851,212.92575128751184,213.6253670289897,42551800
2022-10-14,222.08876037597656,230.5230105633838,221.87498806713398,228.87113093564267,30198600
2022-10-17,230.8047637939453,232.1942836241064,228.48243294129364,229.1431876734247,28142300
2022-10-18,231.74734497070312,237.02359816073528,228.70595997557888,236.35314659832292,26329600
2022-10-19,229.7845001220703,232.8258846804723,227.65650356694331,230.32864238101766,19985700
2022-10-20,229.46385192871094,234.47775981300623,228.22009390223283,229.09462099466492,21811000
2022-10-21,235.26478576660156,236.11987483154329,227.86053764607777,228.09374779836082,26299700
2022-10-24,240.24957275390625,240.8228644348146,234.4680389836242,236.85838032259602,24911200
2022-10-25,243.56301879882812,243.9322497035884,238.8697697379953,240.2592747562869,34775500
2022-10-26,224.7706298828125,231.55300056663893,223.54629485034351,224.62486794587923,82543200
2022-10-27,220.33001708984375,227.07352693116061,219.38747955716596,224.49854760384136,40424600
2022-10-28,229.19180297851562,229.90114514841537,219.64984455522253,219.8344674535042,40647700
2022-10-31,225.5576629638672,228.2686626281402,224.60539921895975,227.14150237504404,28357300
2022-11-01,221.7097625732422,229.065438341305,220.89354926680116,227.95771604634555,30592300
2022-11-02,213.8682861328125,224.7511761173168,213.80997246609851,222.96327583397812,38407000
2022-11-03,208.18394470214844,214.16954032295408,207.92158505441284,213.85859335870933,36633900
2022-11-04,215.12173461914062,215.31606900887368,207.38710136295038,211.39046095991677,36789100
2022-11-07,221.41827392578125,221.9429931186714,215.01486125373305,215.7047654290473,33498000
2022-11-08,222.3899688720703,225.091257180639,219.44575884635148,222.22478388362,28192500
2022-11-09,218.15342712402344,222.1567873542891,217.97853059362552,220.93245233444006,27852900
2022-11-10,236.10049438476562,236.44059075290608,228.3464365627671,228.76425484048087,46268000
